id	node1	label	node2
P10-datatype	P10	datatype	commonsMedia
P1000-datatype	P1000	datatype	wikibase-item
P1001-datatype	P1001	datatype	wikibase-item
P1002-datatype	P1002	datatype	wikibase-item
P1003-datatype	P1003	datatype	external-id
P1004-datatype	P1004	datatype	external-id
P1005-datatype	P1005	datatype	external-id
P1006-datatype	P1006	datatype	external-id
P1007-datatype	P1007	datatype	external-id
P101-datatype	P101	datatype	wikibase-item
P1010-datatype	P1010	datatype	external-id
P1011-datatype	P1011	datatype	wikibase-item
P1012-datatype	P1012	datatype	wikibase-item
P1013-datatype	P1013	datatype	wikibase-item
P1014-datatype	P1014	datatype	external-id
P1015-datatype	P1015	datatype	external-id
P1016-datatype	P1016	datatype	wikibase-item
P1017-datatype	P1017	datatype	external-id
P1018-datatype	P1018	datatype	wikibase-item
P1019-datatype	P1019	datatype	url
P102-datatype	P102	datatype	wikibase-item
P1021-datatype	P1021	datatype	external-id
P1022-datatype	P1022	datatype	external-id
P1023-datatype	P1023	datatype	external-id
P1024-datatype	P1024	datatype	external-id
P1025-datatype	P1025	datatype	external-id
P1026-datatype	P1026	datatype	wikibase-item
P1027-datatype	P1027	datatype	wikibase-item
P1028-datatype	P1028	datatype	wikibase-item
P1029-datatype	P1029	datatype	wikibase-item
P103-datatype	P103	datatype	wikibase-item
P1030-datatype	P1030	datatype	string
P1031-datatype	P1031	datatype	string
P1032-datatype	P1032	datatype	wikibase-item
P1033-datatype	P1033	datatype	wikibase-item
P1034-datatype	P1034	datatype	wikibase-item
P1035-datatype	P1035	datatype	wikibase-item
P1036-datatype	P1036	datatype	external-id
P1037-datatype	P1037	datatype	wikibase-item
P1038-datatype	P1038	datatype	wikibase-item
P1039-datatype	P1039	datatype	wikibase-item
P1040-datatype	P1040	datatype	wikibase-item
P1041-datatype	P1041	datatype	wikibase-item
P1042-datatype	P1042	datatype	external-id
P1043-datatype	P1043	datatype	external-id
P1044-datatype	P1044	datatype	external-id
P1045-datatype	P1045	datatype	external-id
P1046-datatype	P1046	datatype	wikibase-item
P1047-datatype	P1047	datatype	external-id
P1048-datatype	P1048	datatype	external-id
P1049-datatype	P1049	datatype	wikibase-item
P105-datatype	P105	datatype	wikibase-item
P1050-datatype	P1050	datatype	wikibase-item
P1051-datatype	P1051	datatype	external-id
P1052-datatype	P1052	datatype	external-id
P1053-datatype	P1053	datatype	external-id
P1054-datatype	P1054	datatype	external-id
P1055-datatype	P1055	datatype	external-id
P1056-datatype	P1056	datatype	wikibase-item
P1057-datatype	P1057	datatype	wikibase-item
P1058-datatype	P1058	datatype	external-id
P1059-datatype	P1059	datatype	external-id
P106-datatype	P106	datatype	wikibase-item
P1060-datatype	P1060	datatype	wikibase-item
P1064-datatype	P1064	datatype	wikibase-item
P1065-datatype	P1065	datatype	url
P1066-datatype	P1066	datatype	wikibase-item
P1067-datatype	P1067	datatype	external-id
P1068-datatype	P1068	datatype	wikibase-item
P1069-datatype	P1069	datatype	external-id
P1070-datatype	P1070	datatype	external-id
P1071-datatype	P1071	datatype	wikibase-item
P1072-datatype	P1072	datatype	wikibase-item
P1073-datatype	P1073	datatype	wikibase-item
P1074-datatype	P1074	datatype	wikibase-item
P1075-datatype	P1075	datatype	wikibase-item
P1076-datatype	P1076	datatype	external-id
P1077-datatype	P1077	datatype	external-id
P1078-datatype	P1078	datatype	wikibase-item
P1079-datatype	P1079	datatype	wikibase-item
P108-datatype	P108	datatype	wikibase-item
P1080-datatype	P1080	datatype	wikibase-item
P1081-datatype	P1081	datatype	quantity
P1082-datatype	P1082	datatype	quantity
P1083-datatype	P1083	datatype	quantity
P1084-datatype	P1084	datatype	external-id
P1085-datatype	P1085	datatype	external-id
P1086-datatype	P1086	datatype	quantity
P1087-datatype	P1087	datatype	quantity
P1088-datatype	P1088	datatype	quantity
P109-datatype	P109	datatype	commonsMedia
P1090-datatype	P1090	datatype	quantity
P1092-datatype	P1092	datatype	quantity
P1093-datatype	P1093	datatype	quantity
P1096-datatype	P1096	datatype	quantity
P1097-datatype	P1097	datatype	quantity
P1098-datatype	P1098	datatype	quantity
P1099-datatype	P1099	datatype	quantity
P110-datatype	P110	datatype	wikibase-item
P1100-datatype	P1100	datatype	quantity
P1101-datatype	P1101	datatype	quantity
P1102-datatype	P1102	datatype	quantity
P1103-datatype	P1103	datatype	quantity
P1104-datatype	P1104	datatype	quantity
P1106-datatype	P1106	datatype	quantity
P1107-datatype	P1107	datatype	quantity
P1108-datatype	P1108	datatype	quantity
P1109-datatype	P1109	datatype	quantity
P111-datatype	P111	datatype	wikibase-item
P1110-datatype	P1110	datatype	quantity
P1111-datatype	P1111	datatype	quantity
P1113-datatype	P1113	datatype	quantity
P1114-datatype	P1114	datatype	quantity
P1115-datatype	P1115	datatype	external-id
P1116-datatype	P1116	datatype	external-id
P1117-datatype	P1117	datatype	quantity
P112-datatype	P112	datatype	wikibase-item
P1120-datatype	P1120	datatype	quantity
P1121-datatype	P1121	datatype	quantity
P1122-datatype	P1122	datatype	quantity
P1123-datatype	P1123	datatype	quantity
P1125-datatype	P1125	datatype	quantity
P1126-datatype	P1126	datatype	quantity
P1127-datatype	P1127	datatype	quantity
P1128-datatype	P1128	datatype	quantity
P1129-datatype	P1129	datatype	quantity
P113-datatype	P113	datatype	wikibase-item
P1132-datatype	P1132	datatype	quantity
P1133-datatype	P1133	datatype	external-id
P1135-datatype	P1135	datatype	wikibase-item
P1136-datatype	P1136	datatype	wikibase-item
P1137-datatype	P1137	datatype	wikibase-item
P1138-datatype	P1138	datatype	external-id
P1139-datatype	P1139	datatype	quantity
P114-datatype	P114	datatype	wikibase-item
P1140-datatype	P1140	datatype	external-id
P1141-datatype	P1141	datatype	quantity
P1142-datatype	P1142	datatype	wikibase-item
P1143-datatype	P1143	datatype	external-id
P1144-datatype	P1144	datatype	external-id
P1145-datatype	P1145	datatype	wikibase-item
P1146-datatype	P1146	datatype	external-id
P1148-datatype	P1148	datatype	quantity
P1149-datatype	P1149	datatype	external-id
P115-datatype	P115	datatype	wikibase-item
P1150-datatype	P1150	datatype	external-id
P1151-datatype	P1151	datatype	wikibase-item
P1153-datatype	P1153	datatype	external-id
P1154-datatype	P1154	datatype	external-id
P1155-datatype	P1155	datatype	external-id
P1156-datatype	P1156	datatype	external-id
P1157-datatype	P1157	datatype	external-id
P1158-datatype	P1158	datatype	wikibase-item
P1159-datatype	P1159	datatype	external-id
P1160-datatype	P1160	datatype	external-id
P1161-datatype	P1161	datatype	external-id
P1162-datatype	P1162	datatype	external-id
P1163-datatype	P1163	datatype	string
P1164-datatype	P1164	datatype	quantity
P1165-datatype	P1165	datatype	wikibase-item
P1167-datatype	P1167	datatype	external-id
P1168-datatype	P1168	datatype	external-id
P117-datatype	P117	datatype	commonsMedia
P1170-datatype	P1170	datatype	wikibase-item
P1171-datatype	P1171	datatype	wikibase-item
P1172-datatype	P1172	datatype	external-id
P1174-datatype	P1174	datatype	quantity
P118-datatype	P118	datatype	wikibase-item
P1181-datatype	P1181	datatype	quantity
P1182-datatype	P1182	datatype	external-id
P1183-datatype	P1183	datatype	string
P1184-datatype	P1184	datatype	external-id
P1185-datatype	P1185	datatype	external-id
P1186-datatype	P1186	datatype	external-id
P1187-datatype	P1187	datatype	external-id
P1188-datatype	P1188	datatype	external-id
P1189-datatype	P1189	datatype	external-id
P119-datatype	P119	datatype	wikibase-item
P1190-datatype	P1190	datatype	external-id
P1191-datatype	P1191	datatype	time
P1192-datatype	P1192	datatype	wikibase-item
P1193-datatype	P1193	datatype	quantity
P1194-datatype	P1194	datatype	wikibase-item
P1195-datatype	P1195	datatype	string
P1196-datatype	P1196	datatype	wikibase-item
P1198-datatype	P1198	datatype	quantity
P1199-datatype	P1199	datatype	wikibase-item
P1200-datatype	P1200	datatype	wikibase-item
P1201-datatype	P1201	datatype	wikibase-item
P1202-datatype	P1202	datatype	wikibase-item
P1203-datatype	P1203	datatype	external-id
P1204-datatype	P1204	datatype	wikibase-item
P1207-datatype	P1207	datatype	external-id
P1208-datatype	P1208	datatype	external-id
P1209-datatype	P1209	datatype	external-id
P121-datatype	P121	datatype	wikibase-item
P1210-datatype	P1210	datatype	wikibase-item
P1211-datatype	P1211	datatype	wikibase-item
P1212-datatype	P1212	datatype	external-id
P1213-datatype	P1213	datatype	external-id
P1214-datatype	P1214	datatype	external-id
P1215-datatype	P1215	datatype	quantity
P1216-datatype	P1216	datatype	external-id
P1217-datatype	P1217	datatype	external-id
P1218-datatype	P1218	datatype	external-id
P1219-datatype	P1219	datatype	external-id
P122-datatype	P122	datatype	wikibase-item
P1220-datatype	P1220	datatype	external-id
P1221-datatype	P1221	datatype	wikibase-item
P1225-datatype	P1225	datatype	external-id
P1227-datatype	P1227	datatype	wikibase-item
P1229-datatype	P1229	datatype	external-id
P123-datatype	P123	datatype	wikibase-item
P1230-datatype	P1230	datatype	external-id
P1232-datatype	P1232	datatype	external-id
P1233-datatype	P1233	datatype	external-id
P1234-datatype	P1234	datatype	external-id
P1235-datatype	P1235	datatype	external-id
P1236-datatype	P1236	datatype	external-id
P1237-datatype	P1237	datatype	external-id
P1238-datatype	P1238	datatype	external-id
P1239-datatype	P1239	datatype	external-id
P1240-datatype	P1240	datatype	string
P1241-datatype	P1241	datatype	external-id
P1242-datatype	P1242	datatype	external-id
P1243-datatype	P1243	datatype	external-id
P1245-datatype	P1245	datatype	external-id
P1246-datatype	P1246	datatype	external-id
